link__sys,name__v,email__c,external_id__c,first_name__c,last_name__c,job_description__c,branch__c.name__v
,Michael Scott,michael.scott@dundermifflin.com,DM1234,Michael,Scott,Regional Manager,"Scranton, Pennsylvania"
,Dwight Schrute,dwight.schrute@dundermifflin.com,DM5678,Dwight,Schrute,Assistant to the Regional Manager,"Scranton, Pennsylvania"
,Jim Halpert,jim.halpert@dundermifflin.com,DM8901,Jim,Halpert,Sales Representative,"Scranton, Pennsylvania"
,Pam Beesly,pam.beesly@dundermifflin.com,DM2345,Pam,Beesly,Office Administrator,"Scranton, Pennsylvania"
,Angela Martin,angela.martin@dundermifflin.com,DM0987,Angela,Martin,Accounting Lead,"Scranton, Pennsylvania"
,Oscar Martinez,oscar.martinez@dundermifflin.com,DM3456,Oscar,Martinez,Accountant,"Scranton, Pennsylvania"
,Kevin Malone,kevin.malone@dundermifflin.com,DM7890,Kevin,Malone,Accountant,"Scranton, Pennsylvania"
,Stanley Hudson,stanley.hudson@dundermifflin.com,DM1011,Stanley,Hudson,Sales Representative,"Scranton, Pennsylvania"
,Meredith Palmer,meredith.palmer@dundermifflin.com,DM4567,Meredith,Palmer,Supplier Relations Representative,"Scranton, Pennsylvania"
,Creed Bratton,creed.bratton@dundermifflin.com,DM9012,Creed,Bratton,Quality Assurance,"Scranton, Pennsylvania"
,Toby Flenderson,toby.flenderson@dundermifflin.com,DM6789,Toby,Flenderson,Human Resources Representative,"Scranton, Pennsylvania"
,Phyllis Lapin-Vance,phyllis.lapin-vance@dundermifflin.com,DM2468,Phyllis,Lapin-Vance,Sales Representative,"Scranton, Pennsylvania"
,Kelly Kapoor,kelly.kapoor@dundermifflin.com,DM8021,Kelly,Kapoor,Customer Service Representative,"Scranton, Pennsylvania"
,Ryan Howard,ryan.howard@dundermifflin.com,DM3579,Ryan,Howard,Temp,"Scranton, Pennsylvania"
